,Toh Numbers,,ཆོས་ཚན།,,མཆན།,མཚན་བྱང་རྐྱང་པ།,Taiwan Tengyur Calculator,ཀུན་གསལ་མེ་ལོང་།,,རབ་བརྟན་གྱི་མཆན།,དབུ།,First Images,རྒྱབ་འདུན།,དབུ་ཤོག་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,,,,,
,T4306,1-117 སྦྱོར་བ་བརྒྱ་པ།.txt,1-117 སྦྱོར་བ་བརྒྱ་པ།_conc-corrected.txt,,མཚན་བྱང་ཆད་འདུག་པ་མ་ཟད་དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག,སྦྱོར་བ་བརྒྱ་པ,༤༣༠༦་གསོ་རིག་པ་ཧེ,གསོོ་བ་རིག་པ། ཧེ། 111,4306,,1,,b,1,7,8,b,4,5,5,,,,,
,T4308,1-118 བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག.txt,1-118 བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག_conc-corrected.txt,,འདིའི་དབུའི་ཡི་གེ་ཁ་ཤས་ཆད་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག,བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,༤༣༠༨་གསོ་རིག་པ་ཧེ,གསོོ་བ་རིག་པ། ཧེ། 111,4308,,12,,a,4,7,13,a,7,7,7,,,,,
,T4319,1-119 སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།.txt,1-119 སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt,,འདིའི་མཚན་བྱང་ཆད་འདུག,སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ,༤༣༡༩་བཟོ་རིག་པ་ངོ,སྣ་ཚོགས། ངོ 114,4319,,29,,b,1,7,29,b,4,7,7,,,,,
,T1130,1-12 བླ་ན་མེད་པའི་བསྟོད་པ།.txt,1-12 བླ་ན་མེད་པའི་བསྟོད་པ།_conc-corrected.txt,,,བླ་ན་མེད་པའི་བསྟོད་པ,༡༡༣༠་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1130,,79,http://iiif.bdrc.io/bdr:V23703_I1317::13170160.tif/full/full/0/default.jpg,b,7,7,80,a,4,7,7,,,,,
,T4319,1-120 སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།.txt,1-120 སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།_conc-corrected.txt,,,སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ,༤༣༡༩་བཟོ་རིག་པ་ངོ,སྣ་ཚོགས། ངོ། 114,4319,,18,,a,2,7,18,b,2,7,7,,,,,
,T4328,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt,1-122 ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,,,ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,༤༥༠༡་ཇོ་བོའི་ཆོས་ཆུང་གི,སྣ་ཚོགས། ངོ། 114,4501,,99,,b,4,7,103,a,7,7,7,,,,,
,T4329,1-123 ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།.txt,1-123 ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།_conc-corrected.txt,,འདིའི་མཇུག་ཏུ་ཐིག་ཕྲེང་གཅིག་ལྷག་མ་འདུག་པས་དེ་བཟོས་ཡོད།,ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ,༤༣༢༩་ཐུན་མོང་བ་ངོ,སྣ་ཚོགས། ངོ། 114,4329,,103,,a,7,7,113,a,4,7,7,,,,,
,T4330,1-124 ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།.txt,1-124 ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།_conc-corrected.txt,,,ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ,༤༣༣༠་ཐུན་མོང་བ་ངོ,སྣ་ཚོགས། ངོ། 114,4330,,113,,a,4,7,116,b,4,7,7,,,,,
,T4384,1-125 རྡོ་རྗེའི་སྨོན་ལམ།.txt,1-125 རྡོ་རྗེའི་སྨོན་ལམ།_conc-corrected.txt,,,རྡོ་རྗེའི་སྨོན་ལམ,༤༣༨༤་སྣ་ཚོགས་ཉོ,སྣ་ཚོགས། ཉོ། 116,4384,,315,,a,5,7,316,a,3,7,7,,,,,
,T4385,1-126 བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།.txt,1-126 བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།_conc-corrected.txt,,,བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ,༤༣༨༥་སྣ་ཚོགས་ཉོ,སྣ་ཚོགས།་ཉོ། 116,4385,,316,,a,3,7,317,a,3,7,7,,,,,
