ཨང།,ཆོས་མཚན།,ཆོས་མཚན,Is Derge,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,མཚན་གཅིག་གྱུར།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།
321,ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,11-10,ཚད་མ། ཅེ། 97,སློབ་དཔོན་ཕྱོགས་གླང།,༡༡-ཕྱོགས་གླང་།,3-30,འདི་མི་གསལ།,ཅེ1བ-13ན,
322,ཚད་མ་ཀུན་ལས་བཏུས་པ།,ཚད་མ་ཀུན་ལས་བཏུས་པ,,11-12,ཚད་མ། ཅེ། 97,ཕྱོགས་གླང།,༡༡-ཕྱོགས་གླང་།,31-55,ཅེ1བ-13ན,འདི་མི་གསལ།,
323,ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།,ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ,,11-13,ཚད་མ། ཅེ། 97,སློབ་དཔོན་ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,57-235,ཅེ13ན-93བ,ཅེ14ན-85བ,
324,ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།,ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ,,11-27,ཚད་མ། ཅེ། 97,ཕྱོགས་གླང།,༡༡-ཕྱོགས་གླང་།,252-424,ཅེ93བ-177ན,འདི་མི་གསལ།,
325,དམིགས་པ་བརྟག་པ།,དམིགས་པ་བརྟག་པ,,11-14,ཚད་མ། ཅེ། 97,ཕྱོགས་གླང།,༡༡-ཕྱོགས་གླང་།,430-431,ཅེ177ན-177བ,ཅེ86ན-86ན,
326,དམིགས་པ་བརྟག་པའི་འགྲེལ་པ།,དམིགས་པ་བརྟག་པའི་འགྲེལ་པ,,11-15,ཚད་མ། ཅེ། 97,ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,432-436,ཅེ177བ-179ན,ཅེ86ན-87བ,
327,དུས་གསུམ་བརྟག་པ་ཞེས་བྱ་བ།,དུས་གསུམ་བརྟག་པ,,11-16,ཚད་མ། ཅེ། 97,ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,437-440,ཅེ179ན-180བ,ཅེ87བ-88བ,
328,ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,11-17,ཚད་མ། ཅེ། 97,ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,442-452,ཅེ180བ-184བ,འདི་མི་གསལ།,
329,ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ།,ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ,,11-21,ཚད་མ། ཅེ། 97,ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,453-463,ཅེ184བ-189ན,ཅེ88བ-93ན,
330,གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ།,གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ,,11-18,ཚད་མ། ཅེ། 97,ཕྱོགས་ཀྱི་གླང་པོ།,༡༡-ཕྱོགས་གླང་།,465-467༌,ཅེ189ན-190ན,ཅེ93ན-93ན,
331,སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ།,སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ལ་བསྟོད་པ,,12-1,བསྟོད་ཚོགས་ཀ 1,དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,600-602,ཀ237བ-238བ,ཀ203བ-204ན,50
332,རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།,རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད,,,རྒྱུད། ང 3,དྷརྨྨཱ་ཀཱིརྟི།,༡༢-ཆོས་གྲགས།,609-818,ཙ349ན-444ན,ང236བ-321ན,
333,དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས་ཞེས་བྱ་བ།,དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས,,12-2,རྒྱུད། ཝ 11,དཔལ་ལྡན་ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,625-629,ན282བ-284བ,ཝ242ན-243ན,23
334,དཀྱིལ་འཁོར་གྱི་ཐིག་གི་ཆོ་ག,དཀྱིལ་འཁོར་གྱི་ཐིག་གི་ཆོ་ག,,,རྒྱུད། རི། 28,དྷརྨ་ཀཱིརྟི།,༡༢-ཆོས་གྲགས།,1230-1231,ཞི246ན-246བ,རི215བ-216ན,
335,ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,,,རྒྱུད། ཇུ 34,དྷརྨ་ཀཱིརྟི།,༡༢-ཆོས་གྲགས།,1301-1349,གུ226བ-252ན,ཇུ207བ-228ན,
336,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཞེས་བྱ་བའི་འགྲེལ་པ་རྟོགས་པར་དཀའ་བའི་སྣང་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཞེས་བྱ་བའི་འགྲེལ་པ་རྟོགས་པར་དཀའ་བའི་སྣང་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད,,,ཤེས་ཕྱིན། ཇ 52,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,362-632,ཇ161ན-289ན,ཇ140བ-254ན,
337,སྐྱེས་པའི་རབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ།,སྐྱེས་པའི་རབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ,,,སྐྱེས་རབས། ཧུ།,དྷརྨ་ཀཱིརྟི།,༡༢-ཆོས་གྲགས།,386-873,ཀེ152བ-394ན,ཧུ135བ-340ན,
338,ཚད་མ་རྣམ་འགྲེལ་གྱི་ཚིག་ལེའུར་བྱས་པ།,ཚད་མ་རྣམ་འགྲེལ་གྱི་ཚིག་ལེའུར་བྱས་པ,,12-3,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,469-602,ཅེ190ན-240བ,ཅེ94ན-151ན,
339,ཚད་མ་རྣམ་པར་ངེས་པ།,ཚད་མ་རྣམ་པར་ངེས་པ,,12-4,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,614-792,ཅེ250བ-329བ,ཅེ152བ-230ན,
340,རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,རིགས་པའི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,12-5,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,812-829,ཅེ329བ-337ན,ཅེ221བ-138ན,
341,གཏན་ཚིགས་ཀྱི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,གཏན་ཚིགས་ཀྱི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,12-6,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,832-874,ཅེ337ན-357ན,ཅེ238ན-255ན,
342,འབྲེལ་བ་བརྟག་པའི་རབ་ཏུ་བྱེད་པ།,འབྲེལ་བ་བརྟག་པའི་རབ་ཏུ་བྱེད་པ,,12-7,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,880-883,ཅེ357ན-358ན,ཅེ255ན-256ན,
343,འབྲེལ་བ་བརྟག་པའི་འགྲེལ་པ།,འབྲེལ་བ་བརྟག་པའི་འགྲེལ་པ,,12-8,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,884-898,ཅེ358ན-364བ,ཅེ256ན-261ན,
344,ཚད་མ་རྣམ་འགྲེལ་གྱི་འགྲེལ་པ།,ཚད་མ་རྣམ་འགྲེལ་གྱི་འགྲེལ་པ,,12-10,ཚད་མ། ཅེ། 97,ཆོས་ཀྱི་གྲགས་པ།,༡༢-ཆོས་གྲགས།,900-1151,ཅེ404བ-535ན,ཅེ261བ-365ན,
345,རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,རྩོད་པའི་རིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,12-11,ཚད་མ། ཆེ།,སློབ་དཔོན་དྷརྨཱ་ཀཱིརྟི།,༡༢-ཆོས་གྲགས།,863-934,ཆེ364བ8-400ན7,ཆེ326བ4-355བ5,
