ཨང།,ཆོས་མཚན།,ཆོས་མཚན,Is Derge,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,མཚན་གཅིག་གྱུར།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།
126,རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།,རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ,,1-113,སྐྱེས་རབས། གེ། 96,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,445-449,ངེ198བ-200བ,གེ165ན-166བ,
127,སྦྱིན་པའི་གཏམ།,སྦྱིན་པའི་གཏམ,,1-114,སྐྱེས་རབས། གེ། 96,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,450-452,ངེ200བ-201ན,གེ166བ-167བ,
128,སྲིད་པ་ལས་འདས་པའི་གཏམ།,སྲིད་པ་ལས་འདས་པའི་གཏམ,,1-115,སྐྱེས་རབས། གེ། 96,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,453-455,ངེ201ན-202ན,གེ167བ-168ན,
129,བཤེས་པའི་སྤྲིང་ཡིག,བཤེས་པའི་སྤྲིང་ཡིག,,1-116,སྤྲིང་ཡིག ངེ། 96,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,669-684,ངེ282བ-290ན,ངེ40བ-46བ,
130,སྦྱོར་བ་བརྒྱ་པ།,སྦྱོར་བ་བརྒྱ་པ,,1-117,གསོ་བ་རིག་པ། 111,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,3-19,སེ1བ-9བ,ཧེ1བ-8བ,
131,སྨན་འཚོ་བའི་མདོ་ཚིགས་སུ་བཅད་པ།,སྨན་འཚོ་བའི་མདོ་ཚིགས་སུ་བཅད་པ,,1-153,གསོ་བ་རིག་པ། 111,འཕགས་པ་ཀླུ་སྒྲུབ་སྙིང་པོ།,༠༡-ཀླུ་སྒྲུབ།,23-31,སེ9བ-13བ,ཧེ8བ-12ན,
132,སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག,,1-118,གསོ་བ་རིག་པ། 111,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,34-38,སེ13བ-15ན,ཧེ12ན-13ན,
133,སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།,སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ,,1-119,སྣ་ཚོགས། ངོ 114,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,937-938,གོ29བ-29བ,འདི་མི་གསལ།,
134,སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།,སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ,,1-120,སྣ་ཚོགས། ངོ། 114,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,939-941,གི29བ-30ན,ངོ18ན-18བ,
135,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ།,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ,x,1-121,སྣ་ཚོགས། ངོ། 114,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,949-972,གོ32བ-42བ,,
136,ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,1-122,སྣ་ཚོགས། ངོ། 114,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1292-1302,གོ140བ-145ན,ངོ99བ-103ན,
137,ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།,ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ,,1-123,སྣ་ཚོགས། ངོ། 114,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1305-1330,གོ145ན-156བ,103ན-113ན,
138,ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།,ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ,,1-124,སྣ་ཚོགས། ངོ། 114,མགོན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1333-1342,གོ156བ-161ན,ངོ112ན-116བ,
139,རྡོ་རྗེའི་སྨོན་ལམ།,རྡོ་རྗེའི་སྨོན་ལམ,,1-125,སྣ་ཚོགས། ཉོ། 116,དཔལ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1670-1672,འདི་ཆད།,ཉོ315ན-316ན,
140,བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།,བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ,,1-126,སྣ་ཚོགས།་ཉོ། 116,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1674-1677,མོ304ན-305ན,ཉོ316ན-317ན,
141,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ,,1-159,སྣ་ཚོགས། ཉོ། 116,སློབ་དཔོན་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1681-1683,མོ306ན-306བ,ཉོ317བ-318ན,
142,རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་པ།,རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ་ཚིགས་སུ་བཅད་པ་ཉི་ཤུ་པ,,1-163,སྣ་ཚོགས། ཉོ། 16,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1684-1687,མོ299ན-300བ,ཉོ318ན-319ན,
143,སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།,སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ,,1-127,སྣ་ཚོགས། ཉོ། 16,སློབ་དཔོན་ཆེན་པོ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1714-1717,ལུ133ན-134ན,325བ-326བ,
144,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,1-128,སྣ་ཚོགས། ཉོ། 16,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1792-1795,མོ343ན-345ན,ཉོ346ན-347ན,
145,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ,,1-129,སྣ་ཚོགས། ཉོ། 16,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,1797-1802,མོ345ན-348བ,ཉོ347ན-349ན,
146,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།,འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ,,1-130,སྣ་ཚོགས། ནོ། 20,འཕགས་པ་ཀླུ་སྒྲུབ།,༠༡-ཀླུ་སྒྲུབ།,696-713,དོ249ན-257བ,ནོ286བ-294ན,
147,རྣལ་འབྱོར་གྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས།,རྣལ་འབྱོར་གྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས,,2-1,རྒྱུད། ཡ 13,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,192-213,འ91ན-101ན,ཡ73བ-82ན,
148,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས།,ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས,,2-2,རྒྱུད། ཡ 13,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,276-299,འ129ན-141བ,ཡ103བ-113ན,
149,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ་ཞེས་བྱ་བ།,རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ,,2-3,རྒྱུད། ཡ 13,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,303-365,འ142ན-172བ,ཡ113ན-138ན,
150,དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ་བཞུགས།,དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ,,2-4,རྒྱུད། ཡ 13,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,372-382,འ173ན-177བ,ཡ138ན-142ན,
151,རྡོ་རྗེ་དྲིལ་ཐབས་ཀྱིས་མཆོད་པའི་ཐབས་ཀྱི་རིམ་པ།,རྡོ་རྗེ་དྲིལ་ཐབས་ཀྱི་མཆོད་པའི་ཐབས་ཀྱི་རིམ་པ,,2-5,རྒྱུད། ཡ 13,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,384-387,འ177བ-179ན,ཡ142ན-143ན,
152,སྒྲོལ་མ་གསལ་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།,སྒྲོན་མ་གསལ་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད,,2-6,རྒྱུད། ཁི། 17,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,403-527,ཀི61བ-245ན,ཁི155ན-205ན,
153,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།,སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ,,2-7,རྒྱུད། ངི 18,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,161-283,གི64ན-121བ,ངི57ན-106བ,
154,སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,2-8,རྒྱུད། ངི 18,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,291-304,གི121བ-127ན,ངི106བ-112ན,
155,བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ།,བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ,,2-9,རྒྱུད། ངི 18,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,306-312,གི127ན-130ན,ངི112ན-114བ,
156,མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག,,2-10,རྒྱུད། ངི 18,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,314-320,གི130ན-132བ,ངི114བ-117ན,
157,རོ་བསྲེག་པའི་ཆོ་ག,རོ་བསྲེག་པའི་ཆོ་ག,,2-11,རྒྱུད། ངི 18,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,322-326,གི132བ-134བ,ངི117ན-118བ,
158,དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ།,དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ,,2-12,རྒྱུད། ངི 18,སློབ་དཔོན་ཨཱརྱ་དེ་བ།,༠༢-འཕགས་པ་ལྷ།,328-335,གི134བ-137བ,ངི118བ-121ན,
159,རྣམ་པར་མི་རྟོག་པའི་རབ་ཏུ་བྱེད་པ།,རྣམ་པར་མི་རྟོག་པའི་རབ་ཏུ་བྱེད་པ,,2-13,རྒྱུད། ཞི 26,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,1302-1304,ཙི146ན-147ན,ཞི133ན-134ན,
160,གོ་བ་བྱེད་པ་སྙིང་པོ་བརྒྱ་པ།,གོ་བ་བྱེད་པ་སྙིང་པོ་བརྒྱ་པ,,2-14,རྒྱུད། ཞི 26,སློབ་དཔོན་ཨཱརྱ་དེ་བ།,༠༢-འཕགས་པ་ལྷ།,1754-1766,ཕུ152ན-157བ,ཞི278བ-283ན,
161,གྲུབ་ཐོབ་ལྔ་བཅུའི་རྟོགས་པ་བརྗོད་པ་ཐིག་ལེ་འོད་ཀྱི་ཕྲེང་བ་ཞེས་བྱ་བ།,གྲུབ་ཐོབ་ལྔ་བཅུའི་རྟོགས་པ་བརྗོད་པ་ཐིག་ལེ་འོད་ཀྱི་ཕྲེང་བ,,,རྒྱུད། ཟི 27,ཨཱརྱ་དེ་བ་སོགས།,༠༢-འཕགས་པ་ལྷ།,341-350,ཚི90ན-94ན,ཟི71བ-74ན,
162,དུག་ལྔ་སྦས་པའི་ལམ་མཆོག་ཏུ་གསང་བ་བསམ་གྱིས་མི་ཁྱབ་པ་ཞེས་བྱ་བ།,དུག་ལྔ་སྦས་པའི་ལམ་མཆོག་ཏུ་གསང་བ་བསམ་གྱིས་མི་ཁྱབ་པ,,2-15,རྒྱུད། ཟི 27,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,524-532,ཚི162བ-166བ,ཟི129བ-132བ,
163,བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་དཔྱད།,བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་དཔྱད,x,2-16,རྒྱུད། ནུ། 37,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,275-284,ཉུ85ན-88བ,,
164,བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ།,བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ,x,2-17,རྒྱུད། ཞུ། 42,སློབ་དཔོན་ཆེན་པོ་བསོད་སྙོམས་པ་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,1606-1609,ཕུ211ན-212བ,,
165,ཁྲོ་བོ་རེག་ཚིག་གི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,ཁྲོ་བོ་རེག་ཚིག་གི་བསྒྲུབ་པའི་ཐབས,x,2-31,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,850-859,འུ123བ-128ན,,
166,རེག་འབིགས་མའི་སྒྲུབ་ཐབས།,རེག་འབིགས་མའི་བསྒྲུབ་ཐབས,x,2-32,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,860-862,འུ128ན-128བ,,
167,སྐལ་འཇོག་དབང་གི་ཆོ་ག,སྐལ་འཇོག་དབང་གི་ཆོ་ག,x,2-33,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,863-867,འུ129ན-130བ,,
168,ཁྲོ་བོ་རེག་ཚིག་གི་དམ་ཚིག་གསང་བའི་སྒྲུབ་ཐབས།,ཁྲོ་བོ་རེག་ཚིག་གི་དམ་ཚིག་གསང་བའི་བསྒྲུབ་ཐབས,x,2-34,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,868-871,འུ130བ-131བ,,
169,ཁྲོ་བོ་རེག་ཚིག་གི་སྦྱིན་སྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ།,ཁྲོ་བོ་རེག་ཚིག་གི་སྦྱིན་སྲེག་གི་ཆོ་ག,x,2-35,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,872-875,འུ121བ-123ན,,
170,ལྷ་ཆེན་པོ་གསུམ་གྱི་སྒྲུབ་ཐབས།,ལྷ་ཆེན་པོ་གསུམ་གྱི་བསྒྲུབ་ཐབས,x,2-36,རྒྱུད། ཨུ 47,སློབ་དཔོན་ཨརྱ་དྷེ་བ།,༠༢-འཕགས་པ་ལྷ།,879-881,འུ133བ-134ན,,
171,ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,,2-18,དབུ་མ། ཙ 57,འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,771-773,ཙ319ན-319བ,ཙ282བ-282བ,
172,ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ།,ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ,,2-19,དབུ་མ། ཙ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,774-779,ཙ319བ-321ན,ཙ282བ-284ན,
173,བསྟན་བཅོས་བཞི་བརྒྱ་པ་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ།,བསྟན་བཅོས་བཞི་བརྒྱ་པ་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ,,2-20,དབུ་མ། ཚ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,783-821,ཚ20བ-24ན,ཚ1བ-19བ,
174,འཁྲུལ་པ་བཟློག་པའི་རིགས་པ་གཏན་ཚིགས་གྲུབ་པ་ཞེས་བྱ་བ།,འཁྲུལ་པ་བཟློག་པའི་རིགས་པ་གཏན་ཚིགས་གྲུབ་པ,,2-21,དབུ་མ། ཚ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,826-834,ཚ20བ-24ན,ཚ19བ-22བ,
175,རབ་ཏུ་བྱེད་པ་ལག་པའི་ཚད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།,རབ་ཏུ་བྱེད་པ་ལག་པའི་ཚད་ཀྱི་ཚིག་ལེའུར་བྱས་པ,,2-22,དབུ་མ། ཚ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,836-837,ཚ24ན-24བ,ཚ22བ-22བ,
176,རབ་ཏུ་བྱེད་པ་ལག་པའི་ཚད་ཀྱི་འགྲེལ་པ།,ལག་པའི་ཚད་ཀྱི་འགྲེལ་པ,,2-23,དབུ་མ། ཚ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,838-842,ཚ24བ-26བ,ཚ22བ-24ན,
177,དབུ་མ་འཁྲུལ་པ་འཇོམས་པ་ཞེས་བྱ་བ།,དབུ་མ་འཁྲུལ་པ་འཇོམས་པ,,2-24,དབུ་མ། ཚ 57,སློབ་དཔོན་ཨཱརྱ་དེ་བ།,༠༢-འཕགས་པ་ལྷ།,844-850,ཚ26བ-29ན,ཚ24ན-26བ,
178,ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ།,ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ,,2-25,དབུ་མ། ཚ 57,སློབ་དཔོན་འཕགས་པ་ལྷ།,༠༢-འཕགས་པ་ལྷ།,851-855,ཚ29ན-31ན,ཚ26བ-38ན,
179,དབུ་མའི་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།,དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ,,3-1,དབུ་མ། ཙ 57,སངས་རྒྱས་བསྐྱངས།,༠༣-སངས་རྒྱས་བསྐྱངས།,442-745,ཙ178བ-317བ,ཙ158བ-281ན,
180,སྒྲོལ་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།,སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ,,4-1,རྒྱུད། ཨ 16,ལེགས་ལྡན་བྱེད།,༠༤-ལེགས་ལྡན་འབྱེད།,,ཧ 242བ-257ན,ཨ201བ-212ན,
181,སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།,སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ,,4-10,རྒྱུད། ཀི། དང་ ཁི།17,ལེགས་ལྡན་འབྱེད།,༠༤-ལེགས་ལྡན་འབྱེད།,563-1272 དང་3-368,ཨ1བ1-348ན༨ དང ཀི1བ1-61བ༥,ཀི1བ1-292ན7དང 1བ1-155ན5,
182,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོལ་མ།,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཤེས་རབ་སྒྲོལ་མ,,4-2,དབུ་མ། ཚ 57,ལེགས་ལྡན་བྱེད།,༠༤-ལེགས་ལྡན་འབྱེད།,905-1454,ཚ53བ-326ན,45བ-259བ,
183,དབུ་མའི་དོན་བསྡུས་པ།,དབུ་མའི་དོན་བསྡུས་པ,,4-6,དབུ་མ། ཛ 58,ལེགས་ལྡན་བྱེད།,༠༤-ལེགས་ལྡན་འབྱེད།,851-853,ཛ380བ-381ན,ཛ329བ-330ན,
184,སྡེ་པ་ཐ་དད་པར་བྱེད་པ་དང་རྣམ་པར་བཤད་པ།,སྡེ་པ་ཐ་དད་པར་བྱེད་པ་དང་རྣམ་པར་བཤད་པ,,4-11,འདུལ་བ། སུ། 93,ལེགས་ལྡན་འབྱེད།,༠༤-ལེགས་ལྡན་འབྱེད།,1144-1165,ཨུ177ན1-187བ3,སུ147ན3-154བ3,
185,རྡོ་རྗེ་ཕག་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ།,རྡོ་རྗེ་ཕག་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ,,5-1,རྒྱུད། ཤ 14,ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,1148-1150,ལ106བ-107ན,ཤ91ན-91བ,
186,སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ།,སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ,,5-2,རྒྱུད། ཧ། 15,ཟླ་བ་གྲགས་པས་མཛད།,༠༥-ཟླ་བ་གྲགས་པ།,829-1308,ས1བ-233ན,ཧ1བ-201བ,
187,སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།,སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ,,5-3,རྒྱུད། ཧ། 15,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,1335-1341,ས233ན-235བ,ཧ201བ-203བ,
188,རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས,,5-4,རྒྱུད། ངི 18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,537-558,གི168བ-178བ,ངི195བ-204བ,
189,བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས,,5-5,རྒྱུད། ངི 18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,573-577,གི182བ-184ན,ངི209ན-210ན,
190,གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ།,གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ,,5-6,རྒྱུད། ངི 18,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,578-634,གི184ན-210ན,ངི210བ-232བ,
191,ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་བྱིན་རླབས་ཅན་ཞེས་བྱ་བ།,ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་བྱིན་རླབས་ཅན་,,5-7,རྒྱུད། ནུ། 37,ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,446-451,ཉུ125བ-127ན,ནུ111ན-112བ,
192,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཚིག་གསལ་བ་ཞེས་བྱ་བ།,དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཚིག་གསལ་བ,,5-8,དབུ་མ། འ 60,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,3-484,འ1བ-225བ,འ1བ-200ན,
193,དབུ་མ་ལ་འཇུག་པའི་ཚིག་ལེའུར་བྱས་པ།,དབུ་མ་ལ་འཇུག་པའི་ཚིག་ལེའུར་བྱས་པ,x,5-9,དབུ་མ། འ 60,སློབ་དཔོན་ཟླ་བ་གྲགས་པ།,༠༥-ཟླ་བ་གྲགས་པ།,513-554,འ225བ-245ན,,
